,거래소코드,회계년도,종가,상장주식수,시가총액
10,055550,2016/12,45250,474199587,21457531311750
10,323410,2021/12,59000,475159237,28034394983000
11,000270,2015/12,52600,405363347,21322112052200
11,000660,2012/12,25750,694152768,17874433776000
11,028260,2014/12,158000,135000000,21330000000000
11,028260,2018/12,105500,189690043,20012299536500
11,051900,2020/12,1620000,15618197,25301479140000
11,051910,2013/12,299500,66271100,19848194450000
11,055550,2019/12,43350,474199587,20556552096450
11,068270,2021/12,198000,137947128,27313531344000
11,090430,2016/12,321500,58458490,18794404535000
11,105560,2011/12,36300,386351693,14024566455900
11,207940,2017/12,371000,66165000,24547215000000
12,000270,2014/12,52300,405363347,21200503048100
12,000270,2020/12,62400,405363347,25294672852800
12,009540,2013/12,257000,76000000,19532000000000
12,012330,2021/12,254500,94573094,24068852423000
12,015760,2017/12,38150,641964077,24490929537550
12,017670,2016/12,224000,80745711,18087039264000
12,018260,2015/12,254000,77377800,19653961200000
12,096770,2011/12,142000,92465564,13130110088000
12,096770,2012/12,174000,92465564,16089008136000
12,105560,2018/12,46500,418111537,19442186470500
12,105560,2019/12,47650,415807920,19813247388000
13,000660,2011/12,21950,592171582,12998166224900
13,005490,2021/12,274500,87186835,23932786207500
13,017670,2013/12,230000,80745711,18571513530000
13,028260,2017/12,126000,189690043,23900945418000
13,051900,2019/12,1261000,15618197,19694546417000
13,055550,2014/12,44450,474199587,21078171642150
13,055550,2015/12,39550,474199587,18754593665850
13,055550,2018/12,39600,474199587,18778303645200
13,091990,2020/12,163000,151809822,24745000986000
13,105560,2012/12,37900,386351693,14642729164700
13,105560,2016/12,42800,418111537,17895173783600
14,012330,2018/12,190000,97343863,18495333970000
14,012330,2020/12,255500,95054694,24286474317000
14,017670,2011/12,141500,80745711,11425518106500
14,017670,2012/12,152500,80745711,12313720927500
14,017670,2015/12,215500,80745711,17400700720500
14,017670,2019/12,238000,80745711,19217479218000
14,051910,2016/12,261000,66271100,17296757100000
14,055550,2017/12,49400,474199587,23425459597800
14,105560,2013/12,42250,386351693,16323359029250
14,105560,2014/12,36150,386351693,13966613701950
14,377300,2021/12,174500,131883080,23013597460000
15,000810,2014/12,282500,47374837,13383391452500
15,005490,2020/12,272000,87186835,23714819120000
15,010950,2011/12,100000,112582792,11258279200000
15,017670,2017/12,267000,80745711,21559104837000
15,034730,2015/12,240500,70360297,16921651428500
15,034730,2016/12,229500,70360297,16147688161500
15,034730,2018/12,260000,70360297,18293677220000
15,034730,2019/12,262000,70360297,18434397814000
15,066570,2012/12,73600,163647814,12044479110400
15,096770,2013/12,141500,92465564,13083877306000
15,105560,2021/12,55000,415807920,22869435600000
16,000270,2016/12,39250,405363347,15910511369750
16,000270,2019/12,44300,405363347,17957596272100
16,010950,2012/12,104000,112582792,11708610368000
16,033780,2011/12,81400,137292497,11175609255800
16,034730,2017/12,283000,70360297,19911964051000
16,051900,2015/12,1050000,15618197,16399106850000
16,051900,2018/12,1101000,15618197,17195634897000
16,066570,2020/12,135000,163647814,22092454890000
16,066570,2021/12,138000,163647814,22583398332000
16,086790,2013/12,43900,289894062,12726349321800
16,090430,2014/12,2220000,5845849,12977784780000
17,000810,2015/12,307500,47374837,14567762377500
17,003550,2012/12,65200,172557131,11250724941200
17,015760,2019/12,27800,641964077,17846601340600
17,023530,2013/12,404000,31490892,12722320368000
17,033780,2016/12,101000,137292497,13866542197000
17,034220,2014/12,33650,357815700,12040498305000
17,036570,2020/12,931000,21954022,20439194482000
17,066570,2011/12,74400,144647814,10761797361600
17,096770,2017/12,204500,92465564,18909207838000
17,096770,2018/12,179500,92465564,16597568738000
17,259960,2021/12,460000,48967045,22524840700000
18,000810,2013/12,259000,47374837,12270082783000
18,000830,2011/12,68100,156217764,10638429728400
18,005490,2015/12,166500,87186835,14516608027500
18,006400,2019/12,236000,68764530,16228429080000
18,017670,2020/12,238000,80745711,19217479218000
18,028260,2021/12,119000,186887081,22239562639000
18,032830,2018/12,81600,200000000,16320000000000
18,034220,2012/12,31050,357815700,11110177485000
18,051900,2017/12,1189000,15618197,18570036233000
18,051910,2014/12,181000,66271100,11995069100000
18,096770,2016/12,146500,92465564,13546205126000
19,003550,2011/12,61400,172557131,10595007843400
19,018260,2018/12,204000,77377800,15785071200000
19,018260,2019/12,194500,77377800,15049982100000
19,033780,2012/12,80800,137292497,11093233757600
19,033780,2015/12,104500,137292497,14347065936500
19,051900,2016/12,857000,15618197,13384794829000
19,066570,2013/12,68100,163647814,11144416133400
19,086280,2014/12,291500,37500000,10931250000000
19,090430,2017/12,304500,58458490,17800610205000
19,096770,2021/12,238500,92465564,22053037014000
19,105560,2020/12,43400,415807920,18046063728000
20,000810,2016/12,268500,47374837,12720143734500
20,003550,2013/12,64000,172557131,11043656384000
20,006400,2018/12,219000,68764530,15059432070000
20,015760,2020/12,27400,641964077,17589815709800
20,023530,2012/12,377000,29043374,10949351998000
20,032830,2019/12,74500,200000000,14900000000000
20,034730,2014/12,213500,50000000,10675000000000
20,035420,2011/12,211000,48127704,10154945544000
20,055550,2021/12,36800,516599554,19010863587200
20,066570,2017/12,106000,163647814,17346668284000
20,105560,2015/12,33150,386351693,12807558622950
21,000810,2011/12,211000,47374837,9996090607000
21,003550,2014/12,61200,172557131,10560496417200
21,003550,2015/12,70800,172557131,12217044874800
21,011170,2016/12,369000,34275419,12647629611000
21,033780,2018/12,101500,137292497,13935188445500
21,034730,2021/12,251000,74149329,18611481579000
21,035420,2012/12,227000,48127704,10924988808000
21,053000,2013/12,13300,806015340,10720004022000
21,096770,2019/12,150000,92465564,13869834600000
21,096770,2020/12,190000,92465564,17568457160000
21,251270,2017/12,188500,85026385,16027473572500
22,000270,2018/12,33700,405363347,13660744793900
22,000810,2012/12,218000,47374837,10327714466000
22,023530,2011/12,339500,29043374,9860225473000
22,033780,2013/12,74500,137292497,10228291026500
22,033780,2014/12,76100,137292497,10447959021700
22,033780,2017/12,115500,137292497,15857283403500
22,034730,2020/12,240500,70360297,16921651428500
22,035720,2019/12,153500,86213726,13233806941000
22,068270,2016/12,107400,116598327,12522660319800
22,096770,2015/12,130000,92465564,12020523320000
22,302440,2021/12,225000,76500000,17212500000000
23,000810,2018/12,269000,47374837,12743831153000
23,000830,2013/12,60600,156217764,9466796498400
23,002790,2015/12,148000,79790980,11809065040000
23,003550,2017/12,91000,172557131,15702698921000
23,011170,2011/12,298000,31860000,9494280000000
23,033780,2019/12,93800,137292497,12878036218600
23,034220,2016/12,31450,357815700,11253303765000
23,051900,2012/12,657000,15618197,10261155429000
23,051900,2014/12,623000,15618197,9730136731000
23,051900,2021/12,1097000,15618197,17133162109000
23,055550,2020/12,32050,516526835,16554685061750
24,000830,2012/12,62600,156217764,9779232026400
24,003550,2019/12,73800,172557131,12734716267800
24,009150,2021/12,197500,74693696,14752004960000
24,009540,2016/12,145500,76000000,11058000000000
24,018260,2017/12,200000,77377800,15475560000000
24,030200,2011/12,35650,261111808,9308635955200
24,032830,2020/12,79100,200000000,15820000000000
24,034220,2013/12,25350,357815700,9070627995000
24,066570,2014/12,59100,163647814,9671585807400
24,068270,2015/12,84500,112431663,9500475523500
24,090430,2018/12,209500,58458490,12247053655000
25,000830,2014/12,61500,156217764,9607392486000
25,002790,2016/12,133000,82458180,10966937940000
25,003550,2018/12,69900,172557131,12061743456900
25,003550,2020/12,87500,172557131,15098748962500
25,003600,2013/12,191000,46961812,8969706092000
25,010950,2015/12,79400,112582792,8939073684800
25,034220,2011/12,24500,357815700,8766484650000
25,036570,2019/12,541000,21954022,11877125902000
25,053000,2012/12,11800,806015340,9510981012000
25,091990,2017/12,108600,137338423,14914952737800
25,352820,2021/12,349000,41353387,14432332063000
26,010130,2015/12,469000,18870000,8850030000000
26,010140,2013/12,38050,230875386,8784808437300
26,010950,2018/12,97700,112582792,10999338778400
26,015760,2021/12,22100,641964077,14187406101700
26,018260,2016/12,139500,77377800,10794203100000
26,018260,2020/12,178500,77377800,13811937300000
26,030200,2012/12,35500,261111808,9269469184000
26,066570,2019/12,72100,163647814,11799007389400
26,086790,2011/12,35550,243049763,8640419074650
26,086790,2014/12,32000,289894062,9276609984000
26,086790,2017/12,49800,296003062,14740952487600
27,003550,2016/12,60000,172557131,10353427860000
27,004020,2011/12,95700,85314475,8164595257500
27,006400,2017/12,204500,68764530,14062346385000
27,009150,2020/12,178000,74693696,13295477888000
27,009540,2014/12,115000,76000000,8740000000000
27,010140,2012/12,38550,230875386,8900246130300
27,036570,2021/12,643000,21954022,14116436146000
27,066570,2015/12,53800,163647814,8804252393200
27,086280,2013/12,231000,37500000,8662500000000
27,086790,2018/12,36250,300242062,10883774747500
27,090430,2019/12,200000,58458490,11691698000000
28,000270,2017/12,33500,405363347,13579672124500
28,000810,2019/12,243500,47374837,11535772809500
28,011200,2021/12,26900,489039496,13155162442400
28,023530,2014/12,273000,31490892,8597013516000
28,028050,2011/12,201500,40000000,8060000000000
28,034220,2015/12,24550,357815700,8784375435000
28,051900,2013/12,548000,15618197,8558771956000
28,086790,2012/12,34700,243049763,8433826776100
28,091990,2018/12,75300,140526549,10581649139700
28,207940,2016/12,151000,66165000,9990915000000
28,326030,2020/12,169000,78313250,13234939250000
29,000030,2018/12,15600,676000000,10545600000000
29,000720,2011/12,70400,111355765,7839445856000
29,003600,2012/12,179000,46961812,8406164348000
29,010950,2013/12,74000,112582792,8331126608000
29,010950,2016/12,84700,112582792,9535762482400
29,010950,2017/12,117000,112582792,13172186664000
29,011170,2015/12,243500,34275419,8346064526500
29,030200,2014/12,31250,261111808,8159744000000
29,032830,2021/12,64100,200000000,12820000000000
29,086790,2019/12,36900,300242062,11078932087800
29,090430,2020/12,206000,58458490,12042448940000
30,000810,2017/12,267000,47374837,12649081479000
30,003550,2021/12,80900,157300993,12725650333700
30,006400,2014/12,116000,68764530,7976685480000
30,010950,2019/12,95300,112582792,10729140077600
30,030200,2013/12,31550,261111808,8238077542400
30,033780,2020/12,83100,137292497,11409006500700
30,035250,2015/12,38400,213940500,8215315200000
30,036570,2018/12,466500,21939022,10234553763000
30,086280,2012/12,221500,37500000,8306250000000
30,086790,2016/12,31250,296003062,9250095687500
30,139480,2011/12,279000,27875819,7777353501000
31,002790,2014/12,998000,7979098,7963139804000
31,006400,2015/12,114000,68764530,7839156420000
31,009150,2019/12,125000,74693696,9336712000000
31,010130,2016/12,475000,18870000,8963250000000
31,011170,2012/12,245500,31860000,7821630000000
31,011170,2013/12,232000,34275419,7951897208000
