,거래소코드,회계년도,종가,상장주식수,시가총액
686,048410,2015/12,6080,30297753,184210338240
686,121600,2013/12,16800,7232222,121501329600
686,122450,2011/12,7900,12610701,99624537900
686,183300,2018/12,21350,8775000,187346250000
687,004150,2017/12,4565,46359871,211632811115
687,005950,2014/12,9120,15278000,139335360000
687,011040,2019/12,7920,26550000,210276000000
687,011150,2012/12,3015,35930773,108331280595
687,013570,2016/12,7090,26319633,186606197970
687,033500,2011/12,3685,26983609,99434599165
687,049180,2018/12,9090,20428011,185690619990
687,078160,2021/12,21400,16264194,348053751600
687,079370,2020/12,28900,10384000,300097600000
687,104200,2015/12,12400,14827550,183861620000
687,154040,2013/12,23600,5129925,121066230000
688,000230,2016/12,25800,7222812,186348549600
688,006620,2018/12,19300,9604000,185357200000
688,017040,2012/12,2485,43337615,107693973275
688,026890,2013/12,2900,41678175,120866707500
688,049070,2014/12,16200,8600000,139320000000
688,052420,2020/12,4410,67734803,298710481230
688,078600,2017/12,14500,14551225,210992762500
688,079980,2019/12,6090,34500000,210105000000
688,101730,2011/12,14100,7040000,99264000000
688,203690,2015/12,4230,43385630,183521214900
688,308080,2021/12,36850,9442220,347945807000
689,000180,2012/12,17900,6000000,107400000000
689,005960,2017/12,10100,20853553,210620885300
689,012030,2011/12,10900,9106316,99258844400
689,023430,2016/12,664,280368949,186164982136
689,043610,2015/12,4385,41813833,183353657705
689,067570,2013/12,4200,28722222,120633332400
689,159580,2019/12,10450,20032636,209341046200
689,173940,2014/12,22100,6302915,139294421500
689,230360,2018/12,11400,16198937,184667881800
689,251370,2020/12,19900,14954978,297604062200
689,377190,2021/12,5400,64400000,347760000000
690,002795,2019/12,32450,6443770,209100336500
690,003070,2016/12,11200,16570088,185584985600
690,003160,2012/12,3420,31381785,107325704700
690,004540,2013/12,4950,24350813,120536524350
690,008020,2011/12,3320,29797260,98926903200
690,066590,2020/12,8540,34822431,297383560740
690,069920,2015/12,7180,25514093,183191187740
690,077970,2017/12,9150,23008904,210531471600
690,138490,2014/12,4790,29000000,138910000000
690,182360,2021/12,25150,13804687,347187878050
690,236200,2018/12,26000,7080273,184087098000
691,005960,2011/12,4535,21790345,98819214575
691,006490,2021/12,3160,109848100,347119996000
691,044450,2017/12,9070,23185880,210295931600
691,052710,2014/12,14200,9743406,138356365200
691,067310,2013/12,5380,22370446,120352999480
691,080420,2020/12,3730,79721622,297361650060
691,083310,2016/12,15450,12011889,185583685050
691,097520,2018/12,12950,14165193,183439249350
691,101530,2019/12,7180,29116822,209058781960
691,123690,2015/12,11400,16068000,183175200000
691,136490,2012/12,13150,8140000,107041000000
692,004250,2011/12,2690,36720000,98776800000
692,004770,2015/12,6920,26460000,183103200000
692,004890,2013/12,49500,2425215,120048142500
692,033160,2018/12,8410,21807689,183402664490
692,041650,2014/12,6440,21471450,138276138000
692,054620,2019/12,10200,20394221,208021054200
692,066670,2012/12,6050,17656060,106819163000
692,068400,2016/12,8350,22146300,184921605000
692,082800,2020/12,2110,140651093,296773806230
692,194700,2021/12,38450,9003740,346193803000
692,210540,2017/12,19000,11041708,209792452000
693,000850,2011/12,44850,2200000,98670000000
693,003560,2014/12,3150,43668187,137554789050
693,038870,2015/12,20500,8916941,182797290500
693,103590,2016/12,4985,37080390,184845744150
693,122450,2012/12,8350,12775360,106674256000
693,138490,2013/12,4125,29000000,119625000000
693,196490,2018/12,3500,52359350,183257725000
693,208340,2020/12,20800,14234550,296078640000
693,225530,2017/12,6040,34470000,208198800000
693,232140,2019/12,3350,61788456,206991327600
693,263050,2021/12,22350,15479484,345966467400
694,000390,2018/12,6920,26438751,182956156920
694,002840,2016/12,209500,881006,184570757000
694,016590,2021/12,85700,4029782,345352317400
694,043580,2017/12,3190,65262623,208187767370
694,046440,2011/12,5310,18575966,98638379460
694,054780,2019/12,2420,85356831,206563531020
694,065510,2015/12,15400,11841371,182357113400
694,078070,2012/12,5030,21200000,106636000000
694,082850,2013/12,2885,41452323,119589951855
694,104200,2014/12,10150,13527550,137304632500
694,179900,2020/12,18250,16206895,295775833750
695,002250,2013/12,24450,4889986,119560157700
695,012170,2011/12,6190,15854014,98136346660
695,029960,2012/12,2125,50000000,106250000000
695,047820,2015/12,3700,49263122,182273551400
695,048410,2018/12,5420,33718859,182756215780
695,060560,2016/12,4525,40713754,184229736850
695,084680,2014/12,1570,87225824,136944543680
695,102940,2019/12,18050,11412356,205993025800
695,109740,2017/12,10200,20299507,207054971400
695,175250,2021/12,18200,18892263,343839186600
695,199820,2020/12,26600,11110000,295526000000
696,000890,2018/12,1890,96570546,182518331940
696,013120,2012/12,11700,9080810,106245477000
696,028080,2013/12,9500,12577506,119486307000
696,038680,2014/12,8500,16075215,136639327500
696,052330,2015/12,11700,15574552,182222258400
696,060590,2016/12,10500,17475133,183488896500
696,061040,2020/12,10200,28899918,294779163600
696,067280,2019/12,34650,5926779,205362892350
696,072020,2011/12,13400,7320000,98088000000
696,103130,2017/12,8220,25172958,206921714760
696,119860,2021/12,26250,13074822,343214077500
697,002240,2020/12,14700,20000000,294000000000
697,003555,2014/12,41200,3314677,136564692400
697,012160,2015/12,2315,78389202,181471002630
697,039200,2016/12,7150,25639320,183321138000
697,043610,2019/12,3525,58115438,204856918950
697,047310,2017/12,6030,34286030,206744760900
697,048870,2021/12,4310,79534654,342794358740
697,060150,2011/12,2870,34125000,97938750000
697,065150,2012/12,1630,64998136,105946961680
697,141000,2013/12,11300,10556870,119292631000
697,299910,2018/12,22800,7986521,182092678800
698,006220,2013/12,5390,22128774,119274091860
698,008970,2018/12,1520,118885290,180705640800
698,016250,2019/12,73100,2800000,204680000000
698,018000,2021/12,2815,121769460,342781029900
698,029960,2014/12,2730,50000000,136500000000
698,058860,2011/12,2800,34802000,97445600000
698,073110,2012/12,12100,8747718,105847387800
698,092200,2015/12,8360,21700000,181412000000
698,166480,2016/12,11650,15717440,183108176000
698,166480,2017/12,13150,15717440,206684336000
698,228760,2020/12,14650,19986215,292798049750
699,001780,2019/12,2745,74524102,204568659990
699,002460,2018/12,14500,12450800,180536600000
699,005430,2011/12,30700,3166355,97207098500
699,006490,2013/12,2140,55726274,119254226360
699,008600,2016/12,3185,57000000,181545000000
699,009270,2014/12,2155,63303370,136418762350
699,017900,2012/12,1825,57943763,105747367475
699,033640,2017/12,9450,21825174,206247894300
699,035510,2021/12,198500,1720000,341420000000
699,123860,2020/12,26950,10864129,292788276550
699,187220,2015/12,18400,9854054,181314593600
700,003070,2018/12,7130,25210438,179750422940
700,004380,2015/12,8630,21000000,181230000000
700,008250,2014/12,14550,9352731,136082236050
700,014710,2012/12,6130,17218543,105549668590
700,049520,2013/12,10450,11392470,119051311500
700,051500,2021/12,28750,11871586,341308097500
700,084870,2016/12,8700,20856819,181454325300
700,090730,2011/12,7470,13000000,97110000000
700,143160,2020/12,27250,10716390,292021627500
700,220630,2017/12,2190,93897786,205636151340
700,226330,2019/12,15500,13154876,203900578000
701,000970,2017/12,8970,22800500,204520485000
701,002300,2011/12,19400,5004949,97096010600
701,002920,2014/12,5220,25947500,135445950000
701,004870,2018/12,2380,75437074,179540236120
701,015590,2012/12,1920,54739890,105100588800
701,041830,2013/12,8700,13683782,119048903400
701,042600,2021/12,27400,12423574,340405927600
701,086960,2016/12,20550,8825608,181366244400
701,123040,2019/12,6020,33779509,203352644180
701,156100,2015/12,20350,8872672,180558875200
701,304840,2020/12,53000,5504470,291736910000
702,001570,2020/12,6620,44048135,291598653700
702,007540,2015/12,40500,4444000,179982000000
702,008350,2014/12,1220,110179090,134418489800
702,011150,2011/12,2700,35930773,97013087100
702,013360,2021/12,6270,54024880,338735997600
702,018120,2019/12,30700,6621120,203268384000
702,038060,2016/12,3835,47276784,181306466640
702,054210,2012/12,7350,14294600,105065310000
702,123330,2013/12,21600,5500000,118800000000
702,161580,2017/12,35100,5818200,204218820000
702,200780,2018/12,22400,8008318,179386323200
703,006490,2012/12,2360,44490444,104997447840
703,008080,2011/12,1175,82088125,96453546875
703,025980,2014/12,12200,10991011,134090334200
703,026890,2015/12,4300,41678175,179216152500
703,027710,2013/12,1480,80206969,118706314120
703,033640,2016/12,8280,21825174,180712440720
703,061970,2018/12,4085,43784592,178860058320
703,065350,2020/12,10600,27483948,291329848800
703,089980,2017/12,14300,14263536,203968564800
703,216050,2019/12,25150,8056777,202627941550
703,251370,2021/12,22600,14954978,337982502800
704,001790,2015/12,20150,8840002,178126040300
704,003555,2013/12,35700,3314677,118333968900
704,006060,2021/12,6100,55320000,337452000000
704,012200,2011/12,2955,32600000,96333000000
704,053450,2014/12,17200,7792420,134029624000
704,058850,2012/12,2290,45685000,104618650000
704,067290,2019/12,4855,41667166,202294090930
704,077360,2020/12,12800,22718501,290796812800
704,102710,2018/12,12550,14227836,178559341800
704,144960,2016/12,22800,7903379,180197041200
704,217730,2017/12,12500,16251712,203146400000
705,001390,2015/12,15500,11478870,177922485000
705,012200,2014/12,4110,32600000,133986000000
705,030210,2018/12,2960,60314092,178529712320
705,035150,2012/12,4320,24200000,104544000000
705,041440,2016/12,10000,17915944,179159440000
705,067830,2017/12,4920,41040895,201921203400
705,090470,2019/12,13850,14597808,202179640800
705,100840,2013/12,16700,7084612,118313020400
705,101160,2020/12,17600,16510993,290593476800
705,102260,2011/12,3990,24121467,96244653330
705,220260,2021/12,12700,26558307,337290498900
706,004910,2015/12,13900,12800000,177920000000
706,005390,2016/12,1245,143708390,178916945550
706,012610,2020/12,7040,41276365,290585609600
706,020710,2012/12,5220,19941640,104095360800
706,039440,2021/12,21200,15830000,335596000000
706,047080,2014/12,5790,23119296,133860723840
706,058850,2011/12,2070,46485000,96223950000
706,071200,2017/12,8240,24396458,201026813920
706,095610,2013/12,12300,9600240,118082952000
706,104480,2019/12,2215,90895434,201333386310
706,123420,2018/12,18650,9569842,178477553300
707,001460,2011/12,154000,624615,96190710000
707,007460,2021/12,1685,199155230,335576562550
707,040350,2019/12,1830,109659681,200677216230
707,053110,2013/12,3830,30740231,117735084730
707,053660,2012/12,7030,14800000,104044000000
707,054050,2018/12,11100,16030561,177939227100
707,056090,2015/12,23350,7617642,177871940700
707,069110,2017/12,11050,18120714,200233889700
707,072020,2016/12,24400,7320000,178608000000
707,143160,2014/12,12450,10716390,133419055500
707,217600,2020/12,4525,63861340,288972563500
708,002300,2012/12,20700,5004949,103602444300
708,005110,2015/12,5160,34458589,177806319240
708,023910,2013/12,19600,6000000,117600000000
708,033130,2014/12,3590,37115267,133243808530
708,036190,2018/12,29650,6000000,177900000000
708,038290,2020/12,27100,10631654,288117823400
708,052330,2019/12,12850,15574552,200132993200
708,065420,2011/12,1600,60049916,96079865600
708,075580,2021/12,5900,56849456,335411790400
708,091090,2016/12,2945,60593178,178446909210
708,097955,2017/12,150500,1327433,199778666500
709,025750,2013/12,1680,69935085,117490942800
709,038060,2017/12,4215,47276784,199271644560
709,039560,2011/12,5180,18476006,95705711080
709,039860,2015/12,7300,24338338,177669867400
709,063080,2019/12,30250,6595192,199504558000
709,073490,2012/12,17250,6002500,103543125000
709,123330,2014/12,22100,6000000,132600000000
709,230360,2016/12,21950,8128571,178422133450
709,298540,2020/12,39600,7272328,287984188800
709,348150,2021/12,20600,16270559,335173515400
709,900100,2018/12,2025,87747266,177688213650
710,002960,2021/12,257500,1300000,334750000000
710,009460,2018/12,2970,59667486,177212433420
710,041020,2014/12,7120,18618160,132561299200
710,053740,2012/12,10500,9852000,103446000000
710,073490,2019/12,33200,6002500,199283000000
710,079660,2011/12,13300,7160000,95228000000
710,094480,2017/12,5720,34829838,199226673360
710,123860,2013/12,11600,10127700,117481320000
710,144960,2020/12,6590,43692624,287934392160
710,149980,2015/12,12700,13983895,177595466500
710,214180,2016/12,30000,5943314,178299420000
711,001460,2013/12,188000,624615,117427620000
711,003480,2015/12,6010,29529812,177474170120
711,007110,2018/12,2285,77456610,176988353850
711,008040,2017/12,1410,141144600,199013886000
711,025320,2019/12,2745,72561128,199180296360
711,045970,2012/12,7800,13222429,103134946200
711,058430,2016/12,29700,6000000,178200000000
711,060570,2021/12,5880,56859847,334335900360
711,067080,2020/12,15450,18569379,286896905550
711,078070,2011/12,4490,21200000,95188000000
711,141080,2014/12,17300,7656360,132455028000
712,009520,2019/12,4780,41642703,199052120340
712,021320,2016/12,8320,21400000,178048000000
712,039440,2020/12,18100,15830000,286523000000
712,040300,2013/12,2790,42000000,117180000000
712,040420,2011/12,5980,15917552,95186960960
712,053980,2015/12,9990,17747882,177301341180
712,060280,2014/12,4900,26954866,132078843400
712,067370,2018/12,23050,7650940,176354167000
712,083310,2017/12,15750,12602296,198486162000
712,085310,2012/12,3200,32126520,102804864000
712,148150,2021/12,28350,11784281,334084366350
713,000860,2011/12,14600,6500000,94900000000
713,006405,2013/12,72300,1617896,116973880800
713,011370,2015/12,1755,100894865,177070488075
713,034590,2014/12,33000,4000000,132000000000
713,035620,2016/12,2650,67006339,177566798350
713,050110,2019/12,3100,64132180,198809758000
713,079430,2012/12,5940,17261650,102534201000
713,138580,2021/12,14800,22556163,333831212400
713,140860,2017/12,30100,6591055,198390755500
713,161000,2020/12,8940,32040000,286437600000
713,288620,2018/12,30700,5744316,176350501200
714,003100,2013/12,17650,6600000,116490000000
714,010170,2020/12,3870,73741625,285380088750
714,012610,2012/12,2730,37500000,102375000000
714,031330,2014/12,1650,79996594,131994380100
714,033500,2021/12,11500,29005064,333558236000
714,035620,2015/12,2680,66055699,177029273320
714,037330,2011/12,2675,35326038,94497151650
714,046140,2017/12,9220,21463555,197893977100
714,065660,2016/12,23700,7463435,176883409500
714,097230,2018/12,1655,106052508,175516900740
714,306040,2019/12,60200,3294600,198334920000
715,010820,2016/12,3775,46764840,176537271000
715,018470,2015/12,2540,69600000,176784000000
715,024880,2011/12,8300,11374632,94409445600
715,029530,2021/12,33050,10080029,333144958450
715,036800,2020/12,28500,10000000,285000000000
715,051360,2013/12,6960,16717058,116350723680
715,052710,2018/12,18000,9743406,175381308000
715,066980,2012/12,3680,27786693,102255030240
715,068760,2014/12,9150,14395378,131717708700
715,143210,2017/12,9050,21863268,197862575400
715,214390,2019/12,8260,23906860,197470663600
716,000215,2013/12,30500,3800000,115900000000
716,005960,2021/12,14600,22738844,331987122400
716,021820,2016/12,17650,10000000,176500000000
716,031330,2011/12,1180,79996594,94395980920
716,041590,2017/12,4795,41163129,197377203555
716,045100,2014/12,7310,18000000,131580000000
716,069640,2015/12,13950,12649515,176460734250
716,076080,2012/12,5750,17723231,101908578250
716,079980,2020/12,8240,34500000,284280000000
716,123420,2019/12,20600,9569842,197138745200
716,225570,2018/12,7300,24003428,175225024400
717,000300,2013/12,1330,87138070,115893633100
717,001520,2020/12,1190,238684063,284034034970
717,061250,2012/12,7260,14020334,101787624840
717,067830,2011/12,2300,41040895,94394058500
717,068290,2021/12,33150,10000000,331500000000
717,077500,2014/12,9750,13485483,131483459250
717,092070,2016/12,16400,10761828,176493979200
717,106520,2015/12,10200,17257132,176022746400
717,138690,2019/12,12300,16026971,197131743300
717,201490,2018/12,5600,31257770,175043512000
717,215790,2017/12,1975,99915748,197333602300
718,000540,2019/12,3065,64242645,196903706925
718,002300,2015/12,35000,5004949,175173215000
718,002920,2013/12,4465,25947500,115855587500
718,009200,2012/12,2440,41609310,101526716400
718,016380,2018/12,6420,27233424,174838582080
718,016580,2021/12,17800,18600070,331081246000
718,031330,2016/12,1765,99995067,176491293255
718,035610,2011/12,3405,27345997,93113119785
718,089030,2014/12,7960,16474960,131140681600
718,092130,2020/12,23500,12043600,283024600000
718,185490,2017/12,19500,10115000,197242500000
719,003030,2019/12,47400,4141657,196314541800
719,030210,2016/12,2925,60314092,176418719100
719,031330,2017/12,1965,99995067,196490306655
719,033160,2012/12,4685,21651689,101438162965
719,077500,2021/12,12100,27342975,330849997500
719,084730,2011/12,11650,7956203,92689764950
719,089030,2013/12,7000,16474960,115324720000
719,114810,2014/12,13700,9566666,131063324200
719,161000,2015/12,54600,3204000,174938400000
719,183190,2020/12,72500,3895809,282446152500
719,282690,2018/12,12700,13733015,174409290500
720,000910,2011/12,6220,14900345,92680145900
720,006490,2017/12,2250,87270467,196358550750
720,012700,2016/12,6590,26749230,176277425700
720,016250,2013/12,41100,2800000,115080000000
720,016880,2015/12,3300,52866795,174460423500
720,017890,2020/12,13050,21605760,281955168000
720,042420,2014/12,14300,9156866,130943183800
720,047560,2012/12,20400,4949700,100973880000
720,064260,2019/12,3165,61763715,195482157975
720,065680,2021/12,33300,9934220,330809526000
720,088800,2018/12,5100,34120954,174016865400
721,001360,2021/12,4925,67162079,330773239075
721,007120,2012/12,4340,23090245,100211663300
721,034300,2016/12,44050,4000000,176200000000
721,034950,2011/12,20400,4540514,92626485600
721,051370,2015/12,10650,16380672,174454156800
721,053320,2013/12,476,241135466,114780481816
721,082740,2018/12,5280,32947142,173960909760
721,091090,2017/12,3215,60990792,196085396280
721,141020,2014/12,6590,19803210,130503153900
721,225570,2020/12,9770,28838832,281755388640
721,245620,2019/12,5350,36172940,193525229000
722,001130,2020/12,166000,1690000,280540000000
722,004540,2015/12,5380,32228965,173391831700
722,011930,2018/12,1005,172993713,173858681565
722,015890,2011/12,3165,29228750,92508993750
722,017940,2021/12,48200,6860000,330652000000
722,029960,2013/12,2295,50000000,114750000000
722,046140,2016/12,8200,21463555,176001151000
722,067280,2017/12,32950,5926779,195287368050
722,089030,2012/12,6080,16474960,100167756800
722,122640,2019/12,13800,14003328,193245926400
722,143240,2014/12,11200,11634263,130303745600
723,005430,2014/12,41150,3166355,130295508250
723,007820,2018/12,8660,20033946,173493972360
723,025560,2011/12,387,239035550,92506757850
723,026040,2015/12,10500,16503790,173289795000
723,040610,2013/12,3365,34087196,114703414540
723,045100,2012/12,5550,18000000,99900000000
723,054670,2017/12,13600,14354920,195226912000
723,117580,2016/12,6400,27500000,176000000000
723,288330,2020/12,14550,19181174,279086081700
723,319400,2021/12,3145,105102324,330546808980
723,322000,2019/12,17250,11200000,193200000000
724,013870,2012/12,5230,19072280,99748024400
724,036890,2020/12,12400,22482268,278780123200
724,052220,2011/12,4015,23000000,92345000000
724,052790,2017/12,17200,11330638,194886973600
724,058430,2021/12,55000,6000000,330000000000
724,066700,2014/12,4685,27775096,130126324760
724,077500,2018/12,6380,27190652,173476359760
724,078150,2013/12,1515,75628289,114576857835
724,086390,2015/12,8900,19402790,172684831000
724,094280,2019/12,16700,11558200,193021940000
724,220630,2016/12,1920,91247027,175194291840
725,002360,2016/12,1575,111133730,175035624750
725,006380,2018/12,4335,40000000,173400000000
725,019680,2021/12,3895,84702850,329917600750
725,02826K,2015/12,106000,1627440,172508640000
725,036030,2019/12,5400,35715022,192861118800
725,052330,2014/12,10000,12978794,129787940000
725,065160,2013/12,2665,42979272,114539759880
725,082210,2020/12,11750,23675951,278192424250
725,086980,2012/12,1590,62600000,99534000000
725,131100,2011/12,15800,5800000,91640000000
725,168490,2017/12,2430,80020000,194448600000
726,005880,2012/12,5430,18322205,99489573150
726,007660,2016/12,4240,41268398,174978007520
726,009160,2019/12,2945,65429516,192689924620
726,027390,2018/12,28800,6000131,172803772800
726,040610,2014/12,3800,34087196,129531344800
726,082740,2020/12,8400,32947142,276755992800
726,100120,2011/12,9120,10001865,91217008800
726,123420,2021/12,34350,9569842,328724072700
726,126700,2017/12,13000,14942112,194247456000
726,151910,2013/12,10300,11088208,114208542400
726,192250,2015/12,2805,61476373,172441226265
727,000320,2011/12,6870,13198611,90674457570
727,000390,2017/12,7380,26196427,193329631260
727,016090,2014/12,2860,45282310,129507406600
727,036890,2013/12,5710,20000000,114200000000
727,043610,2021/12,5640,58115438,327771070320
727,082850,2020/12,6150,44917878,276244949700
727,094280,2015/12,14900,11558200,172217180000
727,123690,2018/12,10750,16068000,172731000000
727,161580,2019/12,10450,18353188,191790814600
727,187420,2016/12,19450,8995453,174961560850
727,900080,2012/12,2405,41303007,99333731835
728,001540,2013/12,8970,12710535,114013498950
728,011000,2015/12,10700,16088063,172142274100
728,044450,2012/12,8550,11592940,99119637000
728,049070,2016/12,10150,17200000,174580000000
728,067080,2011/12,5010,18092700,90644427000
728,089030,2018/12,9170,18827732,172650302440
728,091810,2020/12,2500,110330279,275825697500
728,122990,2014/12,7570,17094264,129403578480
728,229500,2017/12,22300,8655614,193020192200
728,247660,2021/12,76200,4288920,326815704000
728,300120,2019/12,18600,10308756,191742861600
729,004970,2019/12,11900,16000000,190400000000
729,009520,2021/12,7820,41642703,325645937460
729,010820,2011/12,1930,46764840,90256141200
729,035890,2015/12,1075,159937200,171932490000
729,039860,2014/12,5710,22571338,128882339980
729,052770,2012/12,4540,21776700,98866218000
729,061040,2013/12,10750,10562500,113546875000
729,100700,2020/12,6290,43800000,275502000000
729,104480,2016/12,1920,90895434,174519233280
729,229640,2017/12,6290,30624879,192630488910
729,229640,2018/12,5630,30624879,172418068770
730,000480,2021/12,81000,4000000,324000000000
730,001780,2013/12,1995,56818737,113353380315
730,002020,2020/12,21800,12626426,275256086800
730,003460,2016/12,15350,11340483,174076414050
730,011000,2014/12,1650,77925486,128577051900
730,036030,2018/12,4820,35715022,172146406040
730,036200,2017/12,6280,30664223,192571320440
730,066970,2012/12,9570,10309000,98657130000
730,067900,2019/12,10450,18199659,190186436550
730,108380,2011/12,9490,9495300,90110397000
730,126600,2015/12,17600,9748328,171570572800
731,000180,2011/12,15000,6000000,90000000000
731,002150,2020/12,8150,33720000,274818000000
731,008250,2013/12,12700,8873404,112692230800
731,011390,2018/12,163000,1056000,172128000000
731,016710,2015/12,10650,16089459,171352738350
731,052400,2017/12,12350,15559118,192155107300
731,054050,2019/12,11850,16030561,189962147850
731,060240,2016/12,9270,18770196,173999716920
731,067080,2014/12,7050,18224974,128486066700
731,144620,2012/12,10950,9000000,98550000000
731,290670,2021/12,41350,7824500,323543075000
732,011785,2021/12,107000,3023486,323513002000
732,015860,2020/12,5560,49347483,274372005480
732,023910,2019/12,31650,6000000,189900000000
732,049120,2016/12,9270,18751820,173829371400
732,052710,2013/12,11550,9743406,112536339300
732,053450,2015/12,16300,10505257,171235689100
732,053610,2017/12,20300,9460203,192042120900
732,065270,2011/12,8030,11189860,89854575800
732,080000,2012/12,4820,20433470,98489325400
732,096760,2014/12,2375,53947471,128125243625
732,108790,2018/12,5160,33135480,170979076800
733,004250,2017/12,5220,36720000,191678400000
733,012650,2012/12,3300,29769908,98240696400
733,013520,2011/12,13900,6456121,89740081900
733,025560,2016/12,283,612960258,173467753014
733,027050,2018/12,4270,40000000,170800000000
733,054800,2015/12,16450,10347756,170220586200
733,094190,2013/12,6360,17555366,111652127760
733,131970,2014/12,18700,6850000,128095000000
733,206560,2019/12,7700,24657529,189862973300
733,207760,2020/12,11050,24746635,273450316750
733,213500,2021/12,13500,23800576,321307776000
734,001460,2017/12,306000,624615,191132190000
734,004720,2016/12,17250,10055292,173453787000
734,006220,2012/12,4430,22128774,98030468820
734,009770,2013/12,44600,2499971,111498706600
734,033240,2019/12,10600,17900000,189740000000
734,037370,2014/12,17000,7500000,127500000000
734,066790,2015/12,2150,79138321,170147390150
734,072520,2020/12,2800,96669455,270674474000
734,107590,2011/12,126000,710350,89504100000
734,200710,2021/12,24100,13329832,321248951200
734,268600,2018/12,22400,7612607,170522396800
735,000155,2021/12,80200,3996462,320516252400
735,003460,2015/12,15000,11340483,170107245000
735,004960,2013/12,11250,9908391,111469398750
735,035000,2014/12,7690,16567409,127403375210
735,058400,2012/12,7400,13242972,97997992800
735,060300,2017/12,4285,44474010,190571132850
735,120240,2020/12,37900,7135391,270431318900
735,121910,2011/12,3300,27007000,89123100000
735,191420,2019/12,23450,8085634,189608117300
735,229640,2016/12,5660,30624879,173336815140
735,263720,2018/12,14150,12041343,170385003450
736,001530,2013/12,50200,2213747,111130099400
736,025950,2020/12,32100,8400000,269640000000
736,025950,2021/12,38150,8400000,320460000000
736,026180,2012/12,1940,50333330,97646660200
736,033170,2014/12,1480,85728319,126877912120
736,038880,2016/12,4270,40336498,172236846460
736,039790,2015/12,2235,76105928,170096749080
736,060240,2017/12,7880,24176133,190507928040
736,097955,2011/12,67100,1327433,89070754300
736,115180,2018/12,19900,8536666,169879653400
736,214180,2019/12,14950,12682476,189603016200
737,013990,2017/12,5750,32887536,189103332000
737,015890,2012/12,3340,29228750,97624025000
737,019175,2020/12,122500,2200000,269500000000
737,038290,2021/12,29500,10841400,319821300000
737,041440,2014/12,7080,17915944,126844883520
737,074600,2011/12,7020,12668000,88929360000
737,078000,2013/12,11450,9702706,111095983700
737,086890,2018/12,6360,26625292,169336857120
737,091590,2019/12,16100,11740000,189014000000
737,092070,2015/12,15800,10761828,170036882400
737,104200,2016/12,11600,14827550,171999580000
738,001470,2021/12,2325,137556269,319818325425
738,002460,2017/12,15150,12450800,188629620000
738,006390,2015/12,19400,8754954,169846107600
738,017890,2011/12,4115,21605760,88907702400
738,018310,2018/12,11500,14700000,169050000000
738,024810,2012/12,840,116028980,97464343200
738,067080,2013/12,6090,18224974,110990091660
738,069640,2016/12,13300,12909322,171693982600
738,108380,2014/12,13250,9567333,126767162250
738,129890,2020/12,27800,9688732,269346749600
738,290650,2019/12,25600,7359332,188398899200
739,002810,2011/12,5550,16000000,88800000000
739,006910,2014/12,4010,31584744,126654823440
739,012700,2019/12,7100,26446135,187767558500
739,036890,2018/12,7500,22482268,168617010000
739,039200,2015/12,7000,24238126,169666882000
739,090350,2016/12,8550,20000000,171000000000
739,096610,2012/12,12000,8120970,97451640000
739,122350,2013/12,7170,15366029,110174427930
739,187420,2017/12,20700,9068953,187727327100
739,237880,2021/12,18250,17453743,318530809750
739,298690,2020/12,3275,82070000,268779250000
740,000390,2012/12,4350,22400000,97440000000
740,000850,2013/12,49950,2200000,109890000000
740,001390,2016/12,14750,11576968,170760278000
740,004060,2017/12,927,202424960,187647937920
740,007110,2019/12,2420,77456610,187444996200
740,048870,2020/12,3670,73219908,268717062360
740,051170,2015/12,5230,32427213,169594323990
740,052290,2011/12,5580,15900268,88723495440
740,123860,2014/12,12450,10127700,126089865000
740,241690,2018/12,14100,11927520,168178032000
740,950190,2021/12,23450,13579892,318448467400
741,007210,2018/12,2450,68560000,167972000000
741,031440,2021/12,81900,3872480,317156112000
741,036120,2017/12,5280,35500000,187440000000
741,037270,2015/12,2940,57510854,169081910760
741,054950,2019/12,29600,6330908,187394876800
741,058850,2014/12,2950,42685000,125920750000
741,086200,2011/12,8560,10341260,88521185600
741,100250,2013/12,1965,55895292,109834248780
741,136490,2020/12,11300,23779604,268709525200
741,159910,2012/12,12050,8074763,97300894150
741,200780,2016/12,25550,6673848,170516816400
742,000700,2018/12,6450,26041812,167969687400
742,002780,2021/12,2180,145471745,317128404100
742,010955,2014/12,31300,4021927,125886315100
742,012160,2012/12,1730,56217240,97255825200
742,035510,2015/12,98300,1720000,169076000000
742,066790,2016/12,2150,79138321,170147390150
742,074430,2013/12,1790,61043600,109268044000
742,086890,2011/12,7870,11241510,88470683700
742,094280,2020/12,23200,11558200,268150240000
742,097520,2017/12,20750,8998218,186713023500
742,234690,2019/12,10550,17752276,187286511800
743,001790,2018/12,19000,8840002,167960038000
743,007700,2013/12,7060,15400000,108724000000
743,015890,2015/12,5780,29228750,168942175000
743,025560,2012/12,320,301094437,96350219840
743,041830,2021/12,23150,13683782,316779553300
743,054670,2011/12,6550,13428137,87954297350
743,089600,2020/12,30600,8754691,267893544600
743,097520,2016/12,18900,8998218,170066320200
743,122350,2014/12,4070,30827256,125466931920
743,126700,2019/12,12500,14942112,186776400000
743,246720,2017/12,19800,9402523,186169955400
744,004960,2014/12,12650,9908391,125341146150
744,007160,2019/12,37300,5000000,186500000000
744,014200,2017/12,3835,48498486,185991693810
744,015710,2016/12,9700,17530500,170045850000
