,상장기간
798,8
799,9
800,10
801,10
802,11
803,12
804,13
805,14
806,15
807,16
808,17
809,18
810,19
811,20
812,21
813,15
814,16
815,17
816,18
817,19
818,20
819,21
820,22
821,23
822,24
823,25
824,26
825,0
826,1
827,2
828,3
829,4
830,5
831,0
832,0
833,0
834,0
835,0
836,1
837,2
838,3
839,4
840,5
841,6
842,7
843,6
844,7
845,8
846,9
847,10
848,11
849,12
850,13
851,14
852,15
853,16
854,17
855,8
856,9
857,10
858,11
859,12
860,13
861,14
862,15
863,16
864,17
865,18
866,19
867,0
868,0
869,0
870,1
871,2
872,3
873,1
874,2
875,3
876,4
877,12
878,13
879,14
880,15
881,16
882,17
883,18
884,19
885,20
886,21
887,22
888,23
889,13
890,14
891,15
892,16
893,17
894,18
895,19
896,20
897,21
898,22
899,23
900,24
901,2
902,3
903,4
904,5
905,6
906,7
907,8
908,9
909,10
910,11
911,12
912,13
913,12
914,10
915,11
916,12
917,13
918,14
919,15
920,16
921,17
922,18
923,19
924,20
925,21
926,18
927,19
928,20
929,21
930,22
931,23
932,24
933,25
934,26
935,27
936,28
937,29
938,18
939,19
940,20
941,21
942,22
943,23
944,24
945,25
946,26
947,27
948,28
949,29
950,18
951,19
952,20
953,21
954,22
955,23
956,24
957,25
958,26
959,27
960,28
961,29
962,12
963,13
964,14
965,15
966,16
967,17
968,18
969,19
970,20
971,21
972,22
973,23
974,3
975,4
976,5
977,6
978,7
979,8
980,9
981,10
982,11
983,12
984,13
985,14
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,2
1006,3
1007,4
1008,5
1009,6
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,1
1021,2
1022,3
1023,4
1024,5
1025,1
1026,2
1027,3
1028,4
1029,5
1030,5
1031,6
1032,7
1033,8
1034,9
1035,10
1036,11
1037,12
1038,13
1039,14
1040,15
1041,16
1042,0
1043,0
1044,0
1045,1
1046,2
1047,3
1048,4
1049,5
1050,6
1051,7
1052,8
1053,9
1054,1
1055,2
1056,3
1057,4
1058,5
1059,6
1060,7
1061,8
1062,9
1063,10
1064,11
1065,12
1066,16
1067,17
1068,18
1069,19
1070,20
1071,21
1072,22
1073,23
1074,24
1075,25
1076,26
1077,27
1078,0
1079,1
1080,2
1081,3
1082,4
1083,5
1084,6
1085,7
1086,8
1087,9
1088,10
1089,0
1090,0
1091,0
1092,0
1093,1
1094,2
1095,3
1096,0
1097,1
1098,2
1099,3
1100,1
1101,2
1102,3
1103,4
1104,5
1105,0
1106,0
1107,0
1108,0
1109,1
1110,2
1111,3
1112,4
1113,5
1114,6
1115,7
1116,8
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,1
1124,2
1125,3
1126,4
1127,0
1128,0
1129,0
1130,1
1131,2
1132,3
1133,4
1134,5
1135,6
1136,7
1137,8
1138,9
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,2
1147,3
1148,4
1149,5
1150,6
1151,19
1152,20
1153,21
1154,22
1155,23
1156,24
1157,25
1158,26
1159,0
1160,0
1161,1
1162,2
1163,3
1164,4
1165,5
1166,6
1167,7
1168,8
1169,0
1170,1
1171,2
1172,3
1173,4
1174,5
1175,6
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,2
1185,3
1186,4
1187,5
1188,8
1189,9
1190,10
1191,11
1192,12
1193,13
1194,14
1195,15
1196,16
1197,17
1198,18
1199,19
1200,3
1201,4
1202,5
1203,6
1204,7
1205,8
1206,9
1207,10
1208,11
1209,12
1210,13
1211,14
1212,3
1213,4
1214,5
1215,6
1216,7
1217,8
1218,9
1219,10
1220,11
1221,12
1222,13
1223,14
1224,16
1225,17
1226,18
1227,19
1228,20
1229,13
1230,14
1231,15
1232,16
1233,15
1234,16
1235,17
1236,18
1237,19
1238,20
1239,21
1240,22
1241,23
1242,24
1243,25
1244,26
1245,5
1246,6
1247,7
1248,8
1249,9
1250,10
1251,11
1252,12
1253,13
1254,14
1255,15
1256,16
1257,10
1258,11
1259,12
1260,13
1261,14
1262,15
1263,16
1264,17
1265,18
1266,19
1267,20
1268,21
1269,6
1270,7
1271,8
1272,9
1273,10
1274,11
1275,12
1276,13
1277,14
1278,15
1279,16
1280,17
1281,0
1282,0
1283,0
1284,0
1285,1
1286,2
1287,3
1288,4
1289,5
1290,6
1291,7
1292,8
1293,18
1294,19
1295,20
1296,21
1297,22
1298,23
1299,24
1300,25
1301,26
1302,27
1303,28
1304,29
1305,15
1306,16
1307,17
1308,18
1309,19
1310,20
1311,21
1312,22
1313,23
1314,24
1315,25
1316,26
1317,13
1318,14
1319,15
1320,16
1321,17
1322,18
1323,19
1324,20
1325,21
1326,22
1327,23
1328,24
1329,0
1330,0
1331,1
1332,2
1333,3
1334,4
1335,5
1336,6
1337,7
1338,8
1339,9
1340,10
1341,8
1342,9
1343,10
1344,11
1345,12
1346,13
1347,14
1348,15
1349,16
1350,17
1351,18
1352,19
1353,15
1354,16
1355,17
1356,18
1357,19
1358,20
1359,21
1360,22
1361,23
1362,24
1363,25
1364,26
1365,1
1366,2
1367,3
1368,4
1369,5
1370,6
1371,7
1372,8
1373,9
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,1
1384,2
1385,3
1386,9
1387,10
1388,11
1389,12
1390,13
1391,14
1392,15
1393,16
1394,17
1395,18
1396,19
1397,20
1398,0
1399,1
1400,2
1401,3
1402,4
1403,5
1404,1
1405,2
1406,3
1407,4
1408,5
1409,6
1410,7
1411,8
1412,19
1413,20
1414,21
1415,22
1416,23
1417,24
1418,25
1419,26
1420,27
