# 코스피 + 코스닥
(주)제낙스, 감사의견거절
(주)제이에이치코오스, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려한 고려하여 상장폐지기준에 해당한다고 결정
(주)제이콘텐트리, 코스피상장
(주)제이테크놀로지, 기업의 계속성 및 경영 투명성 등을 종합적으로 고려해 상장폐지 기준에 해당
(주)중앙건설, 액면가의 100분의 20미만인 상태로 61거래일이 경과
(주)지디, 감사의견거절
(주)지앤에스티, 감사의견거절
(주)지에스홈쇼핑, 피합병
(주)지유온, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)지티앤티, '14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절
(주)카카오, 코스피상장
(주)카카오엠, 피합병
(주)케이엔씨글로벌, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)케이피케미칼, 피합병
(주)켐온, 피합병
(주)코너스톤네트웍스, 감사의견거절
(주)코리아센터, 피합병
(주)코아에스앤아이, 감사의견거절
(주)코원플레이, 감사의견거절
(주)쿠첸, 자진상장폐지신청
(주)큐리어스, 기업의 계속성 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정
(주)클루넷, 배임 횡령
(주)태창파로스, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)태평양제약, 피합병
(주)터보테크, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)테라리소스, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)트라이써클, 기업의 계속성 경영의 투명성 또는 기타 코스닥시장의 건전성등을 종합적으로 고려하여 상장폐지가 필요하다고 인정
(주)트레이스, 감사의견거절
(주)티브로드도봉강북방송, 상장폐지신청
(주)티브로드한빛방송, 상장폐지신청
(주)티에스엠텍, 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
(주)티이씨앤코, 피합병
(주)파브코, 피합병
(주)파인넥스, 사업보고서 법정제출기한 내 미제출 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서 반기보고서 또는 분기보고서 법정제출기한 내 미제출
(주)파티게임즈, 감사의견거절
(주)팍스넷, 감사의견거절
(주)평산, 감사의견거절
(주)포스코케미칼, 코스피상장
(주)포스코플랜텍, 자본잠식 50%이상 또는 매출액 50억원 미만 사실발생
(주)폴루스바이오팜, 감사의견거절
(주)폴리플러스, 감사의견거절
(주)퓨전, 감사의견거절
(주)프리젠, 최근 5사업연도 연속 영업손실 발생
(주)플렉스컴, 자본전액잠식
(주)피앤텔, 감사의견거절
(주)피엘에이, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
(주)하림홀딩스, 피합병
(주)한국아트라스비엑스, 피합병
(주)한진피앤씨, 피합병
(주)한진해운, 파산
(주)한컴지엠디, 피합병
(주)한프, 감사의견거절
(주)한화갤러리아타임월드, 피합병
(주)해피드림, 감사범위 제한으로 인한 한정의견
(주)행남사, 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
(주)허메스홀딩스, 감사의견거절
(주)화신테크, 감사의견거절
(주)화진, 감사의견거절
(주)휴먼텍코리아, 자본전액잠식
3노드디지탈그룹유한공사(주), 상장폐지신청
KCW(주), 기업의 계속성 경영의 투명성 또는 그 밖에 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
STX조선해양(주), 자본잠식 50%이상 또는 매출액 50억원 미만 사실발생
경남기업(주), 자본잠식 50%이상 또는 매출액 50억원 미만 사실발생
경남에너지(주), 상장폐지신청
고려개발(주), 피합병
글로스텍(주), 감사의견거절
