,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,영업비용대영업수익비율,기업순이익률,금융비용대총비용비율,이자부담률,1주당매출액,1주당순이익,1주당CASHFLOW,1주당정상영업이익,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,유동비율,당좌비율,현금비율,매입채무대재고자산비율,부채비율,유동부채비율,단기차입금대총차입금비율,순운전자본비율,차입금비율,CASHFLOW대부채비율,CASHFLOW대차입금비율,CASHFLOW대총자본비율,CASHFLOW대매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의증가,기업생애주기,통계청 한국표준산업분류 10차(대분류),경영기간,상장기간,label
10,(주)DB하이텍,990,2021/12,31.508822898044343,-2.503245964036497,77.51476455114023,2.1411701579013944,27.32550290265965,39.19844950508756,29.784810667578427,49.12771500619976,90.86890005179912,66.75663818497085,44.06,26.09,23.23,33.35,55.94,67.14,23.28,0.09,0.17,27289.38,7292.0,8832.15,8966.44,52.59,8.1,110.94,48.33,47.41,71.36,28.64,66.43,243.09,223.4,54.58,67.02,40.13,30.32,43.13,30.96,15.53,79.2,204.66,22.68,28.94,0.89,1.28,2.93,29.97,1.91,2.1,20.61,10.24,1.82,1.3,393129.0,-252767.0,-4884.0,134724.0,성숙기,제조업,68.0,47.0,0
11,(주)HJ중공업,97230,2011/12,-6.493812989486354,-1.5302118427241735,-13.264475293832623,-2.578513519862016,23.47202580494937,-4.547674061287735,-8.721423939965414,-30.382993082503795,-34.061830002074835,-9.815745953259944,7.85,-3.35,-1.33,-5.07,92.15,99.82,1.02,5.45,3.19,59879.7,-2007.0,-8320.58,2236.02,33.99,15.08,51.48,28.86,66.01,26.53,73.47,248.82,96.33,81.81,34.4,59.46,276.93,132.98,32.69,-1.29,182.52,-0.99,-1.51,-0.73,-1.77,0.4,1.51,0.54,10.41,1.12,1.29,8.86,10.97,0.91,0.52,-401788.0,41457.0,94035.0,-262028.0,쇠퇴기,건설업,4.0,5.0,0
12,(주)HJ중공업,97230,2012/12,-6.417614556864885,-7.7241596448238194,-4.905604362061107,-7.196064712657288,-37.93152219732434,-8.106283960986648,-11.834000288431708,-15.81115796616742,45.094923648369786,-50.99375775649694,7.49,-2.09,-0.78,-2.95,92.51,97.92,1.78,6.29,3.48,52793.54,-1095.0,-1747.64,1095.79,34.54,9.84,52.76,31.14,65.46,26.05,73.95,251.29,92.89,83.75,29.88,110.8,283.85,142.72,46.07,-2.64,215.87,-4.99,-6.56,-3.69,-9.54,0.37,1.42,0.51,11.03,1.09,1.25,8.72,9.73,0.84,0.53,-84391.0,39701.0,-67579.0,-122412.0,쇠퇴기,건설업,5.0,6.0,0
13,(주)HJ중공업,97230,2013/12,1.492552952555112,-3.213325613135366,22.63189299497716,-9.659531390559984,168.88150163755702,-4.46034895623241,-0.7836602637802488,-65.99322722300441,-257.41158341789753,-231.4850512151793,2.57,-7.52,-2.87,-11.28,97.43,102.75,-0.5,5.46,3.17,39241.14,-2931.0,-4985.5,-1079.4,41.73,21.58,71.61,32.72,58.27,24.52,75.48,237.61,84.9,66.58,17.98,37.94,307.77,200.42,65.15,-7.42,230.21,-4.02,-5.38,-3.04,-8.02,0.38,1.51,0.51,10.62,1.0,1.19,6.13,10.82,0.89,0.47,-321347.0,-52839.0,237949.0,-141106.0,도입기,건설업,6.0,7.0,0
14,(주)HJ중공업,97230,2014/12,-3.188432079042652,-3.727771712307256,-5.069152514174006,-1.8416108375181124,8.98134038794844,-4.022091546176383,-0.3564564841197766,-126.0631339171656,-57.63513904297214,-108.39394026504156,-0.67,-11.9,-4.56,-18.64,100.67,105.75,-2.21,5.23,3.11,30961.17,-3674.0,-2927.86,-1781.12,40.92,24.77,69.26,30.78,59.08,24.31,75.69,243.01,93.12,70.06,12.33,44.65,311.31,180.73,50.54,-3.02,217.82,-5.71,-8.17,-4.33,-11.1,0.38,1.57,0.51,9.67,0.93,1.21,4.01,10.0,0.91,0.44,-238336.0,204078.0,-211347.0,-240066.0,쇠퇴기,건설업,7.0,8.0,0
15,(주)HJ중공업,97230,2015/12,-8.587675595074343,1.179999267632578,-8.235399432075283,-8.831652606108168,33.26309144609342,-12.999181222013432,23.61393867854344,755.698594543522,12.970171207860954,45.25753855491489,3.56,-8.38,-4.21,-17.73,96.44,102.55,-1.85,4.18,3.1,30457.72,-2551.0,2517.85,-775.94,41.08,35.97,69.71,26.3,58.92,23.14,76.86,254.65,70.83,45.35,4.75,40.38,332.17,250.64,74.48,-16.92,222.9,0.21,0.31,0.16,0.31,0.5,2.12,0.66,9.65,1.23,1.76,4.07,13.54,1.15,0.55,257547.0,-32960.0,-418692.0,-187486.0,성숙기,건설업,8.0,9.0,0
16,(주)HJ중공업,97230,2016/12,-11.12786803315233,-12.115353049922446,-2.35760541576679,-17.241641507452503,-22.76567602388161,-34.590808489619604,-9.700035917499529,-46.21023812096978,-28.17706237424547,0.0642560161270001,2.12,-11.89,-5.99,-29.53,97.88,102.82,-3.76,3.81,2.79,27042.57,-3216.0,-353.38,-762.45,45.13,28.45,82.25,32.29,54.87,17.03,82.97,322.2,89.96,64.36,5.26,43.23,487.19,294.57,53.65,-5.04,350.07,2.53,3.52,2.1,3.92,0.5,2.49,0.63,8.73,1.17,1.73,3.63,17.69,1.09,0.52,-36763.0,-85380.0,91239.0,-24183.0,도입기,건설업,9.0,10.0,0
17,(주)HJ중공업,97230,2017/12,-19.971771898371223,-25.44578902619411,-20.15242256096713,-19.82319104180889,5.114287026433644,-35.52178716530586,-12.830509396357478,-64.4242038643137,16.88404107090532,-47.11859705745155,0.87,-11.34,-5.87,-37.73,99.13,104.76,-3.78,3.56,2.49,23123.58,-2622.0,3634.62,-1100.33,45.03,37.46,81.91,28.16,54.97,13.72,86.28,400.64,56.89,35.58,4.37,39.39,628.81,576.82,96.67,-34.12,429.87,4.8,7.03,4.14,7.11,0.52,3.33,0.61,8.59,1.15,1.7,3.54,18.47,1.17,0.48,385461.0,198422.0,-572275.0,6621.0,Shake-Out,건설업,10.0,11.0,0
18,(주)HJ중공업,97230,2018/12,-35.01677698789181,-64.36103557284908,-9.14679375195667,-56.20684853668809,-26.82539078520661,-222.69377232769344,-30.764616602930943,562.5564759036145,-361.7800689263179,152.85321313189309,8.29,-75.6,-36.99,0.0,91.71,96.37,-34.38,4.97,2.56,16009.7,0.0,3962.14,581.56,62.95,30.17,169.93,43.96,37.05,-25.91,125.91,0.0,80.41,56.15,10.7,38.09,0.0,0.0,34.67,-15.34,0.0,11.7,24.1,14.74,23.73,0.49,0.0,0.48,7.12,0.94,1.42,2.76,14.13,1.4,0.37,420195.0,-2020.0,-318234.0,91352.0,성숙기,건설업,11.0,12.0,0
19,(주)HJ중공업,97230,2019/12,-9.635501642510665,-3.702143980963265,-24.427133149631647,15.499933841143696,-29.93828943871124,134.59458390874715,-4.070867658223338,26.071885210967466,123.8514949982355,35.93456125559375,10.9,18.8,11.77,0.0,89.1,94.85,15.78,6.16,3.68,18223.9,5185.0,1744.73,938.06,52.65,27.97,111.19,37.92,47.35,9.92,90.08,477.43,70.48,50.77,6.64,45.88,908.28,753.17,83.86,-22.05,456.22,12.95,25.77,11.66,17.69,0.63,0.0,0.57,8.93,1.08,1.52,3.69,12.67,2.6,0.46,155934.0,36099.0,-296104.0,-106569.0,Shake-Out,건설업,12.0,13.0,0
