,상장기간
798,39
799,40
800,41
801,42
802,43
803,44
804,45
805,46
806,47
807,48
808,49
809,50
810,0
811,0
812,0
813,0
814,0
815,1
816,2
817,3
818,4
819,5
820,6
821,7
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,2
832,3
833,4
834,19
835,20
836,21
837,22
838,23
839,24
840,25
841,26
842,27
843,28
844,29
845,30
846,16
847,17
848,18
849,19
850,20
851,21
852,22
853,23
854,24
855,25
856,26
857,27
858,5
859,6
860,7
861,8
862,9
863,10
864,11
865,12
866,13
867,14
868,15
869,16
870,36
871,37
872,38
873,39
874,40
875,41
876,42
877,43
878,44
879,45
880,46
881,47
882,24
883,25
884,26
885,27
886,28
887,29
888,30
889,31
890,32
891,33
892,34
893,35
894,2
895,3
896,4
897,5
898,6
899,7
900,8
901,9
902,10
903,11
904,12
905,13
906,24
907,25
908,26
909,37
910,10
911,11
912,12
913,13
914,14
915,15
916,16
917,17
918,18
919,19
920,20
921,21
922,6
923,7
924,8
925,9
926,10
927,11
928,12
929,13
930,14
931,15
932,16
933,17
934,24
935,25
936,26
937,27
938,28
939,29
940,30
941,31
942,32
943,33
944,34
945,35
946,36
947,37
948,38
949,39
950,40
951,41
952,42
953,43
954,44
955,45
956,46
957,47
958,18
959,19
960,20
961,21
962,22
963,23
964,24
965,25
966,26
967,27
968,28
969,29
970,2
971,3
972,4
973,5
974,6
975,7
976,8
977,9
978,10
979,11
980,12
981,13
982,13
983,14
984,15
985,16
986,17
987,18
988,19
989,20
990,21
991,22
992,23
993,24
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,1
1003,22
1004,13
1005,14
1006,15
1007,16
1008,17
1009,18
1010,19
1011,20
1012,21
1013,22
1014,23
1015,24
1016,40
1017,41
1018,42
1019,43
1020,44
1021,45
1022,46
1023,47
1024,48
1025,49
1026,50
1027,51
1028,23
1029,24
1030,25
1031,26
1032,27
1033,28
1034,29
1035,30
1036,31
1037,32
1038,33
1039,34
1040,24
1041,25
1042,26
1043,27
1044,28
1045,29
1046,30
1047,31
1048,32
1049,33
1050,34
1051,35
1052,24
1053,25
1054,26
1055,27
1056,28
1057,29
1058,15
1059,16
1060,17
1061,18
1062,19
1063,20
1064,21
1065,22
1066,23
1067,24
1068,36
1069,37
1070,38
1071,39
1072,40
1073,41
1074,42
1075,43
1076,44
1077,45
1078,46
1079,47
1080,4
1081,5
1082,6
1083,7
1084,8
1085,9
1086,10
1087,11
1088,12
1089,13
1090,14
1091,15
1092,37
1093,38
1094,39
1095,40
1096,41
1097,42
1098,43
1099,44
1100,45
1101,46
1102,47
1103,48
1104,0
1105,0
1106,0
1107,1
1108,2
1109,3
1110,4
1111,5
1112,6
1113,7
1114,8
1115,9
1116,1
1117,2
1118,3
1119,4
1120,5
1121,6
1122,34
1123,35
1124,36
1125,37
1126,38
1127,39
1128,40
1129,41
1130,42
1131,43
1132,44
1133,45
1134,36
1135,37
1136,38
1137,39
1138,40
1139,41
1140,42
1141,43
1142,44
1143,45
1144,46
1145,47
1146,26
1147,27
1148,28
1149,29
1150,30
1151,31
1152,32
1153,33
1154,34
1155,35
1156,36
1157,37
1158,8
1159,9
1160,10
1161,11
1162,12
1163,13
1164,14
1165,15
1166,10
1167,11
1168,12
1169,13
1170,14
1171,15
1172,16
1173,17
1174,18
1175,19
1176,20
1177,21
1178,1
1179,2
1180,3
1181,4
1182,5
1183,6
1184,7
1185,8
1186,9
1187,10
1188,11
1189,12
1190,36
1191,37
1192,38
1193,25
1194,26
1195,27
1196,28
1197,0
1198,0
1199,0
1200,1
1201,2
1202,3
1203,4
1204,5
1205,6
1206,44
1207,45
1208,46
1209,47
1210,48
1211,49
1212,50
1213,51
1214,52
1215,53
1216,54
1217,55
1218,1
1219,2
1220,3
1221,4
1222,5
1223,6
1224,7
1225,8
1226,9
1227,10
1228,11
1229,12
1230,24
1231,25
1232,26
1233,27
1234,28
1235,29
1236,30
1237,31
1238,32
1239,33
1240,34
1241,35
1242,0
1243,0
1244,0
1245,0
1246,0
1247,1
1248,2
1249,3
1250,4
1251,5
1252,6
1253,7
1254,36
1255,37
1256,38
1257,39
1258,40
1259,41
1260,42
1261,43
1262,44
1263,45
1264,46
1265,47
1266,23
1267,24
1268,25
1269,26
1270,27
1271,28
1272,29
1273,30
1274,31
1275,32
1276,33
1277,34
1278,1
1279,2
1280,3
1281,4
1282,5
1283,6
1284,7
1285,8
1286,9
1287,16
1288,17
1289,18
1290,19
1291,20
1292,21
1293,22
1294,23
1295,24
1296,25
1297,26
1298,27
1299,22
1300,23
1301,24
1302,25
1303,26
1304,27
1305,28
1306,29
1307,30
1308,31
1309,32
1310,33
1311,36
1312,37
1313,38
1314,39
1315,40
1316,41
1317,42
1318,43
1319,44
1320,45
1321,46
1322,47
1323,1
1324,2
1325,3
1326,4
1327,5
1328,6
1329,7
1330,8
1331,9
1332,10
1333,11
1334,12
1335,18
1336,17
1337,18
1338,19
1339,20
1340,21
1341,22
1342,23
1343,24
1344,25
1345,26
1346,27
1347,28
1348,21
1349,22
1350,23
1351,24
1352,25
1353,26
1354,27
1355,28
1356,29
1357,30
1358,31
1359,32
1360,1
1361,2
1362,3
1363,4
1364,5
1365,43
1366,44
1367,45
1368,46
1369,47
1370,48
1371,49
1372,50
1373,51
1374,52
1375,53
1376,54
1377,1
1378,2
1379,3
1380,4
1381,5
1382,6
1383,7
1384,8
1385,9
1386,10
1387,11
1388,12
1389,11
1390,12
1391,13
1392,14
1393,15
1394,16
1395,17
1396,18
1397,19
1398,20
1399,21
1400,22
1401,23
1402,24
1403,25
1404,26
1405,27
1406,28
1407,29
1408,30
1409,31
1410,32
1411,33
1412,34
1413,10
1414,11
1415,12
1416,13
1417,14
1418,15
1419,16
1420,17
1421,18
1422,19
1423,20
1424,21
1425,0
1426,0
1427,0
1428,0
1429,1
1430,2
1431,3
1432,4
1433,5
1434,6
1435,7
1436,8
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,1
1446,2
1447,3
