,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,비유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출총이익증가율,당기순이익증가율,정상영업손익증가율
1,(주)DB하이텍,000990,2011/12,-13.191447463205455,-7.891076539170159,-10.08196984795397,-14.095355745537352,-3.275048918769756,-22.600598970895643,-10.9390800315462,168.60656350452268,48.759893906975044,88.59889238834049
2,(주)DB하이텍,000990,2012/12,-3.443493316342019,-9.686757974020361,10.516719933077368,-7.691245031643022,2.7868193430420294,-5.573228765638086,6.984585741811175,5.4568237537455735,68.00208275904316,63.79606025492468
3,(주)DB하이텍,000990,2013/12,-8.582385737915189,-7.200144735325487,-27.877946846776908,-1.553126226268573,-8.685120234160127,-29.610887852234324,-16.424559823692505,-7.782358472045711,-164.978781787435,38.477787735245165
4,(주)DB하이텍,000990,2014/12,-6.945914179245497,-6.957581284195963,11.042738416135558,-11.746870776880435,-4.418469700737793,-41.05061121231508,14.980395016121454,53.393239291436515,7.270581718785747,574.0401623140152
5,(주)DB하이텍,000990,2015/12,-0.023657776554838826,-9.910153484277282,36.42227625594752,-12.262136949439437,20.64180398959237,110.48109823285255,17.416569494009348,67.76523866915014,264.56907634172626,174.29543459174715
6,(주)DB하이텍,000990,2016/12,0.21784523137296322,2.73117755186255,9.227639989696733,-4.48641646286981,-8.52504193625689,34.582790476152994,15.983468222833954,26.267529900426247,-30.291242217891156,37.976618201313926
7,(주)DB하이텍,000990,2017/12,0.7257883904259168,1.4361850717818665,-4.136624345393631,3.6292776403868814,-1.7368524461326873,33.30662119754209,-12.080865043847169,-12.56611840971001,24.711355609888617,-16.95374301157585
8,(주)DB하이텍,000990,2018/12,7.302472657102816,7.560384256084325,8.402349128973063,6.6949560197910944,-42.82515096175635,22.50865514986902,-1.5386810800632007,-15.077277405971598,-21.18992511912866,-21.09151855860889
9,(주)DB하이텍,000990,2019/12,2.0961357068785427,3.180213196780293,11.185797865819463,-3.005028141490584,20.857036277161242,15.447749967764581,20.639673439626822,36.588401382026234,20.509276854507135,60.445337321781004
10,(주)DB하이텍,000990,2020/12,8.236920166407993,9.424659489371917,7.728796541102559,8.563956138153348,0.02121995447355222,23.25816604643443,15.915463651946457,22.018264405488843,58.66853980905415,32.01630518721179
11,(주)DB하이텍,000990,2021/12,31.508822898044343,-2.503245964036497,77.51476455114023,2.1411701579013944,27.32550290265965,39.19844950508756,29.784810667578427,49.12771500619976,90.86890005179912,66.75663818497085
12,(주)DB하이텍,000990,2022/12,36.95386525138425,12.176437947992916,62.878544387495985,8.192973096562763,11.742429980156627,48.12024772840287,37.91988355800119,74.36906410162987,76.34935561642452,92.61676693217609
14,(주)HJ중공업,097230,2011/12,-6.493812989486354,-1.5302118427241735,-13.264475293832625,-2.578513519862016,23.47202580494937,-4.547674061287735,-8.721423939965414,-30.382993082503795,-34.061830002074835,-9.815745953259944
15,(주)HJ중공업,097230,2012/12,-6.417614556864885,-7.7241596448238194,-4.905604362061107,-7.196064712657288,-37.93152219732434,-8.106283960986648,-11.834000288431708,-15.81115796616742,45.094923648369786,-50.99375775649694
16,(주)HJ중공업,097230,2013/12,1.492552952555112,-3.213325613135366,22.63189299497716,-9.659531390559984,168.88150163755702,-4.46034895623241,-0.7836602637802488,-65.99322722300441,-257.41158341789753,-231.48505121517934
17,(주)HJ중공업,097230,2014/12,-3.1884320790426517,-3.7277717123072556,-5.069152514174006,-1.8416108375181124,8.98134038794844,-4.022091546176383,-0.35645648411977665,-126.06313391716559,-57.63513904297214,-108.39394026504155
18,(주)HJ중공업,097230,2015/12,-8.587675595074343,1.179999267632578,-8.235399432075283,-8.831652606108168,33.26309144609342,-12.999181222013432,23.61393867854344,755.698594543522,12.970171207860954,45.25753855491489
19,(주)HJ중공업,097230,2016/12,-11.12786803315233,-12.115353049922446,-2.35760541576679,-17.241641507452503,-22.76567602388161,-34.590808489619604,-9.700035917499527,-46.21023812096978,-28.17706237424547,0.06425601612700013
20,(주)HJ중공업,097230,2017/12,-19.971771898371223,-25.44578902619411,-20.15242256096713,-19.82319104180889,5.114287026433644,-35.52178716530586,-12.830509396357478,-64.4242038643137,16.88404107090532,-47.11859705745155
21,(주)HJ중공업,097230,2018/12,-35.01677698789181,-64.36103557284908,-9.14679375195667,-56.20684853668809,-26.82539078520661,-222.69377232769344,-30.764616602930943,562.5564759036145,-361.7800689263179,152.85321313189309
22,(주)HJ중공업,097230,2019/12,-9.635501642510663,-3.702143980963265,-24.427133149631647,15.499933841143697,-29.93828943871124,134.59458390874715,-4.070867658223338,26.071885210967466,123.8514949982355,35.93456125559375
23,(주)HJ중공업,097230,2020/12,-11.187941812517256,-3.0919321039737153,-17.917354202645367,-3.705701710889437,-54.047047633185706,30.61666816330196,4.1175109025259236,-26.488584886524986,-74.41086458785834,-38.41887427092403
24,(주)HJ중공업,097230,2021/12,8.72350269274861,54.92217722589239,-11.10212868003852,27.513741422431437,-11.993443329065915,35.00029687221682,0.6319675200419858,-115.73299813751714,-278.4953922344472,-311.1042243700246
25,(주)HJ중공업,097230,2022/12,7.6495994526327795,-30.157836376866836,50.71859928198028,-20.808404183989133,36.42716334715519,-10.882975891482738,4.783443849866279,570.7702050957276,64.13146077057293,106.07848354451286
27,(주)MH에탄올,023150,2011/12,-0.4908466734386701,2.915196762107912,-0.6719290234196621,-0.39715577957291687,18.30113014947138,-8.489008042895442,-18.643729109141113,-7.257269590931494,-143.0005577244841,-82.51667149898522
