,회사명,거래소코드,회계년도,총자본증가율,총자본순이익률,자기자본순이익률,매출원가대매출액비율,금융비용대총비용비율,자기자본구성비율,순운전자본비율,CASHFLOW대총자본비율,순운전자본회전률,1주당순이익,1주당정상영업이익,시가총액
4177,(주)팜스토리,027710,2015/12,-0.06418132140172,0.24,2.81,89.35,1.29,17.93,-12.92,-2.0,1.09,36.0,297.69,105071129390
4178,(주)팜스토리,027710,2016/12,-12.975443397660728,1.81,12.82,88.45,1.13,25.14,-11.17,5.06,1.03,198.0,274.78,137380255205
4179,(주)팜스토리,027710,2017/12,-14.549537405888492,2.08,9.46,88.39,0.67,29.9,-7.18,10.25,1.15,158.0,233.07,117060346075
4180,(주)팜스토리,027710,2018/12,16.04990059361825,-1.46,-3.93,89.18,0.73,25.75,-8.12,-2.78,1.21,-68.0,217.54,90556116775
4181,(주)팜스토리,027710,2019/12,-2.601035797275337,-2.12,-3.3,89.31,0.93,26.33,-1.64,-3.08,1.15,-57.0,167.2,125343675000
4182,(주)팜스토리,027710,2020/12,2.128163866122774,4.19,14.74,88.9,0.65,31.02,6.01,2.91,1.14,245.0,197.87,128686173000
4183,(주)팜스토리,027710,2021/12,28.43445015817953,0.66,2.45,89.47,0.42,30.38,3.62,-2.89,1.09,46.0,225.41,252915682000
4184,(주)팬스타엔터프라이즈,054300,2019/12,49.42737522982522,1.63,2.55,83.98,1.86,60.92,15.12,0.81,1.1,19.0,33.1,50329885216
4185,(주)팬엔터테인먼트,068050,2021/12,7.998836250787955,3.73,5.69,86.93,3.58,65.24,0.75,3.72,0.59,148.0,54.82,142234466040
4186,(주)펄어비스,263750,2018/12,3592.630597014925,20.55,35.89,0.0,-0.62,57.26,33.6,22.35,0.86,12498.0,13313.9,2690849700000
4187,(주)펄어비스,263750,2019/12,21.733962078789663,19.96,31.62,0.0,0.11,67.91,37.68,18.89,1.03,13002.0,11579.8,2411859600000
4188,(주)펄어비스,263750,2020/12,3.435705466162319,11.43,16.45,0.0,-0.36,70.99,33.45,18.16,0.79,8276.0,12035.89,3404684955000
4189,(주)펄어비스,263750,2021/12,51.20509322419281,5.27,8.76,0.0,0.42,53.0,32.99,8.18,0.49,973.0,649.71,9158433450000
4190,(주)포메탈,119500,2011/12,22.32171557147449,10.73,17.03,84.16,-0.68,61.26,11.44,7.18,1.97,868.0,1022.49,112861359000
4191,(주)포메탈,119500,2012/12,12.630452736691945,8.0,13.0,89.33,-0.38,61.83,6.77,8.88,1.5,377.0,51.1,56515996000
4192,(주)포메탈,119500,2013/12,0.3066411132405632,2.32,3.73,89.25,0.37,62.5,7.66,5.32,1.62,117.0,52.15,48820200800
4193,(주)포메탈,119500,2014/12,-0.8307165761185599,0.74,1.17,88.5,0.42,63.17,5.53,3.11,1.58,37.0,63.83,33308363600
4194,(주)포메탈,119500,2015/12,-7.637923235437015,1.51,2.27,88.71,0.35,69.85,7.48,3.1,1.52,73.0,46.26,38719469600
4195,(주)포메탈,119500,2016/12,-0.0526029385089787,3.41,4.78,85.95,0.2,73.01,11.96,4.22,1.82,159.0,196.59,50623902800
4196,(주)포메탈,119500,2017/12,10.371862579626503,4.23,5.99,86.73,0.16,68.67,8.62,5.4,1.98,207.0,259.99,44604828480
4197,(주)포메탈,119500,2018/12,-0.2630886608787161,3.44,4.91,88.89,0.29,71.51,6.81,5.56,1.98,177.0,181.13,42886979840
4198,(주)포메탈,119500,2019/12,3.358282774993405,3.57,5.0,88.35,0.32,71.35,8.04,5.7,1.98,186.0,181.22,34712389760
4199,(주)포메탈,119500,2020/12,0.8453894374172556,2.81,3.91,88.92,0.26,72.38,4.87,6.39,1.75,149.0,162.35,48099761920
4200,(주)포메탈,119500,2021/12,1.980291982348196,3.15,4.34,89.82,0.21,72.94,10.75,3.9,1.89,170.0,177.98,55089628800
4201,(주)포스코아이씨티,022100,2011/12,6.367995340234909,3.85,12.8,88.34,0.62,34.76,15.11,10.17,1.44,209.0,194.8,1201794573330
4202,(주)포스코아이씨티,022100,2012/12,28.20829105196973,1.44,6.04,88.64,0.67,27.48,-2.43,5.81,1.34,106.0,222.91,1103129568450
4203,(주)포스코아이씨티,022100,2013/12,-7.241836339298295,2.57,8.2,87.47,0.49,43.75,4.42,8.01,1.37,182.0,479.49,1035982551240
4204,(주)포스코아이씨티,022100,2014/12,-2.160972194201488,2.87,6.81,87.74,0.47,47.06,11.07,8.29,1.35,169.0,293.76,805784063700
4205,(주)포스코아이씨티,022100,2015/12,-15.826865157486283,-7.41,-14.25,88.28,-0.07,47.76,11.44,6.79,1.12,-339.0,91.88,770816076030
4206,(주)포스코아이씨티,022100,2016/12,-4.574019981525807,5.54,10.4,86.37,-0.22,56.6,21.45,6.06,1.24,243.0,343.67,878760733620
4207,(주)포스코아이씨티,022100,2017/12,-2.400936273029296,6.42,10.83,86.29,-0.18,61.93,25.79,2.29,1.51,276.0,368.8,1269489987150
4208,(주)포스코아이씨티,022100,2018/12,-5.580836173857072,-5.44,-9.26,87.68,-0.15,55.58,20.29,4.23,1.61,-225.0,277.13,792100938090
4209,(주)포스코아이씨티,022100,2019/12,10.682330654570722,6.17,11.13,86.42,-0.35,54.23,27.43,6.91,1.51,258.0,316.38,804263716410
4210,(주)포스코아이씨티,022100,2020/12,1.3363556547861402,1.32,2.36,88.26,-0.32,54.05,27.95,9.45,1.29,57.0,171.59,1178269149750
4211,(주)포스코엠텍,009520,2011/12,17.066861627838357,3.03,6.82,95.3,0.14,45.58,24.31,-6.61,1.48,2648.0,3750.47,312300000000
4212,(주)포스코엠텍,009520,2012/12,22.379332073093888,2.11,5.67,96.3,0.23,38.97,13.84,-3.44,1.97,221.0,378.89,495516000000
4213,(주)포스코엠텍,009520,2017/12,-11.554820854770703,6.73,12.38,90.23,0.07,57.87,23.56,13.1,1.67,238.0,292.21,95361789870
4214,(주)포스코엠텍,009520,2018/12,-14.085009870217144,10.62,16.5,89.67,-0.04,71.91,51.35,7.81,2.24,339.0,456.06,273592558710
4215,(주)포스코엠텍,009520,2019/12,5.120057360286149,8.4,11.87,90.79,-0.34,69.73,53.32,6.93,2.23,254.0,313.64,199052120340
4216,(주)포스코엠텍,009520,2020/12,0.9967678678003676,7.26,10.1,91.59,-0.33,73.98,58.72,7.93,1.88,226.0,278.83,191972860830
